Month,District,Energy_Consumption_MWh,Traffic_Index,Air_Quality_Index,Water_Usage_ML,Waste_Collected_Tons,Smart_Sensors_Active,Renewable_Energy_Pct,Public_Transport_Ridership
2024-01-01,Downtown,4200,78,62,8.5,120,450,34,95000
2024-01-01,Westside,3100,55,74,6.2,90,310,45,62000
2024-01-01,Northgate,2800,62,68,5.9,98,280,40,55000
2024-01-01,Eastpark,2200,48,80,4.8,78,220,55,48000
2024-01-01,Southbridge,3500,70,65,7.1,105,350,38,75000
2024-02-01,Downtown,4100,76,65,8.2,115,452,35,92000
2024-02-01,Westside,3050,54,76,6.0,88,312,46,60000
2024-02-01,Northgate,2750,60,70,5.7,95,282,41,53000
2024-02-01,Eastpark,2150,47,82,4.6,75,222,56,46000
2024-02-01,Southbridge,3450,68,67,6.9,102,352,39,72000
2024-03-01,Downtown,3900,80,60,8.0,118,455,37,98000
2024-03-01,Westside,2900,57,70,5.8,92,315,48,65000
2024-03-01,Northgate,2600,64,65,5.5,100,285,43,58000
2024-03-01,Eastpark,2050,50,77,4.4,80,225,58,50000
2024-03-01,Southbridge,3300,72,62,6.7,108,355,41,78000
2024-04-01,Downtown,3700,72,68,7.8,112,458,39,102000
2024-04-01,Westside,2800,52,78,5.5,85,318,50,68000
2024-04-01,Northgate,2500,58,72,5.2,93,288,45,61000
2024-04-01,Eastpark,1950,45,84,4.2,74,228,60,53000
2024-04-01,Southbridge,3150,66,70,6.4,100,358,43,82000
2024-05-01,Downtown,3500,70,72,7.5,108,460,41,105000
2024-05-01,Westside,2650,50,80,5.3,82,320,52,71000
2024-05-01,Northgate,2380,56,75,5.0,89,290,47,64000
2024-05-01,Eastpark,1850,43,87,4.0,71,230,62,55000
2024-05-01,Southbridge,3000,64,73,6.1,97,360,45,85000
2024-06-01,Downtown,3800,85,58,7.9,125,462,38,99000
2024-06-01,Westside,2750,58,72,5.6,94,322,49,66000
2024-06-01,Northgate,2450,65,67,5.3,102,292,44,59000
2024-06-01,Eastpark,1900,51,79,4.3,82,232,59,51000
2024-06-01,Southbridge,3100,73,64,6.5,110,362,42,79000
